"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P0002000";"P0001000";"Einführungen";"lkl=pa? not (lkl=pa 000 or lkl=pa 900)";"Introductions"
"P0003000";"P0002000";"Einführungen in die Geschichtswissenschaft";"lkl=paa 000";"Introductions to History in General"
"P0004000";"P0002000";"Einführungen in Teilbereiche der Geschichtswissenschaft";"lkl=paa 200";"Introductions to Thematic Fields of History"
"P0005000";"P0002000";"Einführungen in die Alte Geschichte";"lkl=pab?";"Introductions to Ancient History"
"P0006000";"P0002000";"Einführungen in die Geschichte des Mittelalters";"lkl=pad?";"Introductions to Medieval History"
"P0007000";"P0002000";"Einführung in die Geschichte der Neuzeit";"lkl=pae?";"Introductions to Modern History"
"P0008000";"P0002000";"Einführung in die Zeitgeschichte";"lkl=paf?";"Introductions to Contemporary History"
"P0009000";"P0001000";"Geschichtsschreibung, Geschichtstheorie, Geschichtsdidaktik";"lkl=pb? ";"Historiography, Theory of History, Education and Didactics "
"P0010000";"P0009000";"Geschichte der Geschichtsschreibung";"lkl=pba 000 or lkl=pba 900";"History of Historiography"
"P0011000";"P0009000";"Geschichtsschreibung in der Antike";"lkl=pbb 000";"Historiography in the Ancient World"
"P0012000";"P0011000";"Alter Orient";"lkl=pbb 100";"Ancient Orient "
"P0013000";"P0011000";"Griechenland";"lkl=pbb 200";"Greece"
"P0014000";"P0011000";"Römisches Reich";"lkl=pbb 300";"Roman Empire"
"P0015000";"P0011000";"Byzantinisches Reich";"lkl=pbb 400";"Byzantine Empire"
"P0016000";"P0009000";"Geschichtsschreibung außereuropäischer Völker (bis Neuzeit)";"lkl=pbc 000";"Non-European Historiography (until the Modern Period)"
"P0017000";"P0009000";"Geschichtsschreibung im Mittelalter";"lkl=pbd 000 or lkl=pbd 100";"Historiography in the Middle Ages"
"P0018000";"P0017000";"Mitteleuropa (Deutschland, Österreich, Schweiz)";"lkl=pbd 200";"Central Europe (Germany, Austria, Switzerland)"
"P0019000";"P0017000";"Skandinavien, Finnland, Beneluxländer";"lkl=pbd 250 or lkl=pbd 270 or lkl=pbd 280";"Scandinavia, Finland, Low Countries"
"P0020000";"P0017000";"England, Schottland, Irland";"lkl=pbf 300";"England, Scotland, Ireland"
"P0021000";"P0017000";"Frankreich, Spanien, Portugal, Italien";"lkl=pbd 4?";"France, Spain, Portugal, Italy"
"P0022000";"P0017000";"Osteuropa";"lkl=pbd 5?";"Eastern Europe"
"P0023000";"P0009000";"Geschichtsschreibung in der frühen Neuzeit";"lkl=pbe 000 or lkl=pbe 100";"Early Modern Historiography"
"P0024000";"P0023000";"Mitteleuropa (Deutschland, Österreich, Schweiz)";"lkl=pbe 200";"Central Europe (Germany, Austria, Switzerland)"
"P0025000";"P0023000";"Skandinavien, Finnland, Beneluxländer";"lkl=pbe 250 or lkl=pbe 270 or lkl=pbe 280";"Scandinavia, Finland, Low Countries"
"P0026000";"P0023000";"England, Schottland, Irland";"lkl=pbe 300";"England, Scotland, Ireland"
"P0027000";"P0023000";"Frankreich, Spanien, Portugal, Italien";"lkl=pbe 4?";"France, Spain, Portugal, Italy"
"P0028000";"P0023000";"Osteuropa";"lkl=pbe 5?";"Eastern Europe"
"P0029000";"P0023000";"Ungarn";"lkl=pbe 520";"Hungary"
"P0030000";"P0023000";"Asien";"lkl=pbe 600";"Asia"
"P0031000";"P0023000";"Amerika";"lkl=pbe 7?";"America"
"P0032000";"P0009000";"Geschichtsschreibung im 19. und 20. Jahrhundert";"lkl=pbf 0? or lkl=pbf 100";"Historiography in the 19th and 20th Century"
"P0033000";"P0032000";"Mitteleuropa (Deutschland, Österreich, Schweiz)";"lkl=pbf 2?";"Central Europe (Germany, Austria, Switzerland)"
"P0034000";"P0032000";"Skandinavien, Finnland, Beneluxländer";"lkl=pbf 250 or lkl=pbf 270 or lkl=pbf 280";"Scandinavia, Finland, Low Countries"
"P0035000";"P0032000";"England, Schottland, Irland";"lkl=pbf 300";"England, Scotland, Ireland"
"P0036000";"P0032000";"Frankreich, Spanien, Portugal, Italien";"lkl=pbf 4?";"France, Spain, Portugal, Italy"
"P0037000";"P0032000";"Osteuropa";"lkl=pbf 5?";"Eastern Europe"
"P0038000";"P0032000";"Asien";"lkl=pbf 600";"Asia"
"P0039000";"P0032000";"Kanada";"lkl=pbf 720";"Canada"
"P0040000";"P0032000";"Vereinigte Staaten";"lkl=pbf 750";"United States"
"P0041000";"P0032000";"Lateinamerika";"lkl=pbf 780";"Latin America"
"P0042000";"P0032000";"Australien, Neuseeland und Ozeanien";"lkl=pbf 900";"Australia, New Zealand, Oceania"
"P0043000";"P0009000";"Geschichtsschreibung des jüdischen Volkes";"lkl=pbh 000";"Historiography of the Jewish People"
"P0044000";"P0009000";"Theorie und Methoden allgemein";"lkl=pbk 000";"Theory and methodology of history in general"
"P0045000";"P0044000";"Geschichtserkenntnis";"lkl=pbk 100";"Epistemology of History"
"P0046000";"P0044000";"Geschichtsdarstellung";"lkl=pbk 200";"History narratives"
"P0047000";"P0044000";"Geschichtspolitik";"lkl=pbk 700 or thm=geschichtspolit?";"Political Use of History"
"P0048000";"P0044000";"Oral History";"lkl=pbk 800";"Oral History"
"P0049000";"P0044000";"Quantitative Methoden";"lkl=pdt 100";"Quantitative methods"
"P0050000";"P0044000";"Einzelbeiträge";"lkl=pbk 900";"Miscellaneous"
"P0051000";"P0044000";"Geschichtsdenken (s.a. Geschichtsphilosophie; BK 08.43)";"lkl=pbl?";"Conceptions of History (see also Philosophy of History)"
"P0052000";"P0044000";"Erinnerungskultur und kollektives Gedächtnis";"lkl=pbl? and (thm=memor? or thm=erinnerung? or thm=kollektives ged?)";"Cultures of Memory and Collective Memory"
"P0053000";"P0009000";"Geschichtswissenschaftliche Institutionen";"lkl=pbs?";"Institutions of Historical Science"
"P0054000";"P0053000";"Ausbildung, Beruf, Organisation";"lkl=pbs 000 or lkl=pbs 900";"Training, Profession, Organisation"
"P0055000";"P0053000";"Museen";"lkl=pbs 800";"Museums"
"P0056000";"P0053000";"Einzelne Institutionen und Mitgliederverzeichnisse";"lkl=pbt?";"Individual Institutions and Registers of Members"
"P0057000";"P0056000";"Mitteleuropa (Deutschland u.a.)";"lkl=pbt 220";"Central Europe (Germany etc)"
"P0058000";"P0056000";"England, Schottland, Irland";"lkl=pbt 300";"England, Scotland, Ireland"
"P0059000";"P0056000";"Amerika";"lkl=pbt 7?";"America"
"P0060000";"P0056000";"Australien, Neuseeland und Ozeanien";"lkl=pbt 900";"Australia, New Zealand, Oceania"
"P0061000";"P0009000";"Geschichtsdidaktik";"lkl=pbw 000";"Education and Didactics"
"P0062000";"P0001000";"Teilbereiche der Geschichte (regional übergreifend)";"lkl=pc?";"Thematic Fields of History (all regions)"
"P0063000";"P0062000";"Politische Geschichte (Diplomatie, Verfassung, Verwaltung, Ideologien etc.)";"lkl=pca? or lkl=pcb?";"Political History (Diplomacy, Constitution, Administration, Ideologies etc.)"
"P0064000";"P0062000";"Kulturgeschichte (Kommunikation, Medien, Religion und Frömmigkeit, Alltag etc.)";"lkl=pcd?";"Cultural History (Communication, Media, Religion and Piety, Everyday Life etc.)"
"P0064500";"P0064000";"Kulturgeschichte: allgemeine Darstellungen ";"lkl=pcd 000";"Cultural History: Comprehensive Histories"
"P0065000";"P0064000";"Medien- und Kommunikationsgeschichte";"lkl=pcd? and (thm=medie? or thm=media? or thm=kommunikation? or thm=communication?)";"History of Media and Communication"
"P0066000";"P0064000";"Einzelne kulturelle Phänomene";"lkl=pcd 900";"Individual Cultural Phenomena"
"P0067000";"P0062000";"Sozialgeschichte";"lkl=pcl?";"Social History"
"P0067500";"P0067000";"Sozialgeschichte: allgemeine Darstellungen ";"lkl=pcl 000";"Social History: Comprehensive Histories"
"P0068000";"P0067000";"Historische Demographie";"lkl=pcl 050";"Historical Demography"
"P0069000";"P0067000";"Geschichte einzelner Stände und Gruppen";"lkl=pcl 100";"History of Individual Estates and Groups"
"P0070000";"P0067000";"Adel";"lkl=pcl 110";"Aristocracy"
"P0071000";"P0067000";"Bürgertum";"lkl=pcl 130";"Bourgeoisie"
"P0072000";"P0067000";"Bauern";"lkl=pcl 140";"Peasants"
"P0073000";"P0067000";"Arbeiter";"lkl=pcl 145";"Working class"
"P0074000";"P0067000";"Sklaven, Sklaverei";"lkl=pcl 150";"Slaves, slavery"
"P0075000";"P0067000";"Militär";"lkl=pcl 160";"Military"
"P0076000";"P0067000";"Sonstige Gruppen";"lkl=pcl 190";"Other groups"
"P0077000";"P0067000";"Soziale Konflikte, Kriminalität";"lkl=pcl 300";"Social Conflicts and Delinquency"
"P0078000";"P0067000";"Geschichte des Nationalismus allgemein";"lkl=pcl 400";"History of Nationalism in General"
"P0079000";"P0067000";"Geschlechtergeschichte";"lkl=pcl 500";"Gender history"
"P0080000";"P0067000";"Geschichte einzelner sozialer Erscheinungen";"lkl=pcl 800 or lkl=pcl 900";"History of Individual Social Phenomena"
"P0081000";"P0067000";"Hexenverfolgungen";"lkl=p? and (thm=hexe? or thm=witch?)";"Witch hunts"
"P0082000";"P0062000";"Wirtschaftsgeschichte";"lkl=pcp 000 or lkl=pcp 900";"Economic History"
"P0083000";"P0082000";"Agrargeschichte";"lkl=pcq 000";"Agricultural History"
"P0084000";"P0082000";"Umweltgeschichte";"lkl=pcq 500 or thm=umweltgeschichte";"History of the Environment"
"P0085000";"P0082000";"Handelsgeschichte";"lkl=pcr 000";"History of Trade"
"P0086000";"P0082000";"Konsumgeschichte";"lkl=pcr 500 or (lkl=p? and (sww=konsum? or sww=consum? or sww=luxu?))";"History of Consumption"
"P0087000";"P0082000";"Finanzgeschichte";"lkl=pct 000";"History of Finance"
"P0088000";"P0082000";"Geschichte des Kapitalismus";"lkl=pcu 000";"History of Capitalism"
"P0089000";"P0082000";"Technikgeschichte";"lkl=pcs 900";"History of Technology"
"P0090000";"P0082000";"Geschichte der Produktion (hier auch: Indust. Revolution)";"lkl=pcs 000";"History of Production (incl. Industrial Revolution)"
"P0091000";"P0082000";"Geschichte einzelner Produktionszweige";"lkl=pcs 500";"History of Individual Manufacturing Sectors"
"P0092000";"P0001000";"Historische Hilfswissenschaften";"lkl=pd?";"Auxilary Sciences"
"P0093000";"P0092000";"Quellenkunde";"lkl=pda?";"Primary Source studies"
"P0094000";"P0092000";"Archivwesen";"lkl=pdb 0?";"Archives "
"P0095000";"P0094000";"Geschichte des Archivwesens - Allgemeines";"lkl=pbd 100 or lkl=pdb 110";"History of Archival Science in General"
"P0096000";"P0095000";"West- und Nordeuropa";"lkl=pdb 2? or lkl=pdb 3? or lkl=pdb 4?";"Western and Northern Europe"
"P0097000";"P0095000";"Osteuropa";"lkl=pdb 5?";"Eastern Europe"
"P0098000";"P0095000";"Amerika";"lkl=pdb 7?";"America"
"P0099000";"P0094000";"Archivführer (Inventare)";"lkl=pdc 000";"Archival Inventories"
"P0100000";"P0099000";"Europäische Archive";"lkl=pdc 100";"European Archives"
"P0101000";"P0099000";"Deutschland";"lkl=pdc 200";"Germany"
"P0102000";"P0101000";"Brandenburg, Preußen, Berlin";"lkl=pdc 210";"Brandenburg, Prussia, Berlin"
"P0103000";"P0101000";"Mecklenburg-Vorpommern, Pommern";"lkl=pdc 214";"Mecklenburg-West Pommerania"
"P0104000";"P0101000";"Sachsen, Sachsen-Anhalt, Thüringen";"lkl=pdc 218";"Saxony, Saxony-Anhalt, Thuringia"
"P0105000";"P0101000";"Ostmitteleuropa";"lkl=pdc 220";"Eastern Central Europe"
"P0106000";"P0101000";"Schleswig-Holstein, Lübeck, Hamburg";"lkl=pdc 230";"Schleswig-Holstein, Luebeck, Hamburg"
"P0107000";"P0101000";"Niedersachsen, Bremen";"lkl=pdc 235";"Lower Saxony, Bremen"
"P0108000";"P0101000";"Hessen";"lkl=pdc 240";"Hesse"
"P0109000";"P0101000";"Nordrhein-Westfalen";"lkl=pdc 245";"North Rhine-Westphalia"
"P0110000";"P0101000";"Rheinland-Pfalz, Saarland";"lkl=pdc 250";"Rhineland-Palatinate, Saarland"
"P0111000";"P0101000";"Baden-Württemberg";"lkl=pdc 260";"Baden-Wuerttemberg"
"P0112000";"P0101000";"Bayern";"lkl=pdc 270";"Bavaria"
"P0113000";"P0099000";"Schweiz";"lkl=pdc 280";"Switzerland"
"P0114000";"P0099000";"Österreich";"lkl=pdc 285";"Austria"
"P0115000";"P0099000";"Tschechien, Slowakei";"lkl=pdc 289";"Czechia, Slovakia"
"P0116000";"P0099000";"Skandinavien";"lkl=pdc 290";"Scandinavia"
"P0117000";"P0099000";"Beneluxstaaten";"lkl=pdc 295";"Low Countries"
"P0118000";"P0099000";"Großbritannien und Irland";"lkl=pdc 300";"Great Britain and Ireland"
"P0119000";"P0099000";"Frankreich";"lkl=pdc 400";"France"
"P0120000";"P0099000";"Iberische Halbinsel";"lkl=pdc 440";"Iberian Peninsula"
"P0121000";"P0099000";"Italien";"lkl=pdc 470";"Italy"
"P0122000";"P0099000";"Balkan und Griechenland";"lkl=pdc 500";"Balkan States und Greece"
"P0123000";"P0099000";"Osteuropa";"lkl=pdc 540";"Eastern Europe"
"P0124000";"P0099000";"Ungarn";"lkl=pdc 550";"Hungary"
"P0125000";"P0099000";"Rußland";"lkl=pdc 560";"Russia"
"P0126000";"P0099000";"Asien";"lkl=pdc 600";"Asia"
"P0127000";"P0099000";"Amerika";"lkl=pdc 700";"America"
"P0128000";"P0099000";"Kanada";"lkl=pdc 720";"Canada"
"P0129000";"P0099000";"USA";"lkl=pdc 750";"USA"
"P0130000";"P0099000";"Lateinamerika";"lkl=pdc 780";"Latin America"
"P0131000";"P0099000";"Afrika";"lkl=pdc 800";"Africa"
"P0132000";"P0099000";"Australien, Neuseeland und Ozeanien";"lkl=pdc 900";"Australia, New Zealand, Oceania"
"P0133000";"P0099000";"Geschichte des jüdischen Volkes";"lkl=pdc 940";"History of the Jewish People"
"P0134000";"P0099000";"Thematische Archivführer";"lkl=pdc 95?";"Thematic Guides to Archives"
"P0135000";"P0092000";"Historische Geographie";"lkl=pde?";"Historical Geography"
"P0136000";"P0135000";"Historische Ortsverzeichnisse";"lkl=pdf?";"Historical Gazeteers"
"P0137000";"P0092000";"Paläographie";"lkl=pdg 000 or lkl=pdg 900";"Paleography"
"P0138000";"P0137000";"Alter Orient, Griechenland und Römisches Reich";"lkl=pdg 1?";"Ancient Orient, Greece and Roman Empire"
"P0139000";"P0137000";"Mittelalter und Neuzeit";"lkl=pdg 200 or lkl=pdg 300";"Middle Ages and Modern Period"
"P0140000";"P0137000";"Sonstiges (z.B. osmanische Paläographie)";"lkl=pdg 500";"Miscellaneous (e.g. Ottoman paleography)"
"P0141000";"P0137000";"Kürzungen, Geheimschriften u.ä.";"lkl=pdg 600";"Abbreviations, Cryptography"
"P0142000";"P0137000";"Runenkunde";"lkl=pdg 700";"Study of Runes"
"P0143000";"P0137000";"Papyruskunde";"lkl=pdg 800";"Study of Papyrus"
"P0144000";"P0092000";"Chronologie";"lkl=pdh?";"Chronology"
"P0145000";"P0092000";"Genealogie";"lkl=pdi 000 or lkl=pdi 090";"Genealogy"
"P0146000";"P0145000";"Herrscherhäuser";"lkl=pdi 100";"Dynasties"
"P0147000";"P0145000";"Adel";"lkl=pdi 2?";"Aristocracy"
"P0148000";"P0145000";"Nichtadelige Familien und Personen - Europa";"lkl=pdi 4? or lkl=pdi 5? or lkl=pdi 6?";"Non-aristocratic Families and Persons - Europe"
"P0149000";"P0145000";"Nichtadelige Familien und Personen - Asien, Amerika, Afrika, Australien, Neuseeland";"lkl=pdi 7?";"Non-aristocratic Families and Persons - Asia, America, Africa, Australia, New Zealand"
"P0150000";"P0145000";"Historische Namenkunde";"lkl=pdi 800";"Historical Onomastics"
"P0151000";"P0092000";"Heraldik";"lkl=pdl? not (lkl=pdl 600 or lkl=pdl 700)";"Heraldry"
"P0152000";"P0151000";"Fahnen- und Flaggenkunde";"lkl=pdl 600";"Vexillology"
"P0153000";"P0151000";"Orden und Ehrenzeichen";"lkl=pdl 700";"Orders and Medals"
"P0154000";"P0092000";"Numismatik";"lkl=pdn 000 or lkl=pdn 090 or lkl=pdn 100";"Numismatics"
"P0155000";"P0154000";"Antike Münzen";"lkl=pdn 2?";"Ancient Coins"
"P0156000";"P0154000";"Europa - Mittelalter und Neuzeit";"lkl=pdn 300 or lkl=pdn 400 or lkl=pdn 5?";"Europe - Middle Ages and Modern Period"
"P0157000";"P0154000";"Asien, Amerika, Afrika, Australien, Neuseeland";"lkl=pdn 6?";"Asia, America, Africa, Australia, New Zealand"
"P0158000";"P0092000";"Sphragistik";"lkl=pdp?";"Sigillography"
"P0159000";"P0092000";"Diplomatik";"lkl=pdq?";"Diplomacy"
"P0160000";"P0092000";"Epigraphik";"lkl=pds 000 or lkl=pds 090 or lkl=pds 100";"Epigraphy"
"P0161000";"P0160000";"Antike Inschriften";"lkl=pds 2?";"Ancient Inscriptions"
"P0162000";"P0160000";"Mittelalterliche und neuzeitliche Inschriften";"(lkl=pds 300 or lkl=pds 400 or lkl=pds 5?) not lkl=pds 590";"Medieval and Modern Inscriptions"
"P0163000";"P0162000";"Südasien";"lkl=pds 590";"South Asia"
"P0164000";"P0092000";"Historische Fachinformatik";"lkl=pdv 000";"Computing and History "
"P0165000";"P0092000";"Historische Metrologie";"lkl=pdt 500";"Historical Metrology"
"P0166000";"P0001000";"Allgemeine Weltgeschichte";"lkl=pf?";"World History in general"
"P0167000";"P0166000";"Allgemeine Weltgeschichte (ohne Weltkriege)";"lkl=pf? not (lkl=pfp? or lkl=pfr?)";"World History in general (without World Wars)"
"P0168000";"P0167000";"Nachschlagewerke, Handbücher, Gesamtdarstellungen";"lkl=pf 000";"Factual Reference Works, Handbooks, Comprehensive Histories"
"P0169000";"P0167000";"Politische Geschichte";"lkl=pf !00 not lkl=pf 000";"Political History"
"P0170000";"P0167000";"Globalisierung";"lkl=pf? and (sww=globalis? or sww=mondial?)";"Globalisiation"
"P0171000";"P0167000";"Mittelalter";"lkl=pfa?";"Middle Ages"
"P0172000";"P0167000";"Neuzeit 1500-1900";"lkl=pfb?";"Modern Period 1500-1900"
"P0173000";"P0167000";"Nachschlagewerke, Handbücher, Gesamtdarstellungen";"lkl=pfb 000";"Encyclopedias, Factual Reference Works, Comprehensive Histories"
"P0174000";"P0167000";"Politische Geschichte";"lkl=pfb? not lkl=pfb 000";"Political History"
"P0175000";"P0167000";"Weltausstellungen";"lkl=p? and (thm=world exposition? oder thm=weltausstellung?)";"World Exhibitions"
"P0176000";"P0167000";"20./21. Jahrhundert";"lkl=pfe?";"20th/ 21th Century"
"P0177000";"P0167000";"Nachschlagewerke, Handbücher, Gesamtdarstellungen";"lkl=pfe 000";"Factual Reference Works, Handbooks, Comprehensive Histories"
"P0178000";"P0167000";"Internationale Beziehungen";"lkl=pfe 200";"International Relations"
"P0179000";"P0167000";"Völkerbund, Vereinte Nationen";"lkl=p? and ((thm=völkerbund or thm=vereinte nationen) or lkl=pfe 210)";"League of Nations, United Nations"
"P0180000";"P0167000";"Ost-West-Konflikt";"lkl=pfe 220";"East-West conflict/ Cold War"
"P0181000";"P0167000";"NATO";"lkl=pfe? and (thm=nato or thm=otan)";"NATO"
"P0182000";"P0167000";"Abrüstung";"lkl=pfe 230";"Disarmament"
"P0183000";"P0167000";"Internationaler Terrorismus";"lkl=pfe 240";"International Terrorism"
"P0184000";"P0167000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pfe 3? or lkl=pfe 4? or lkl=pfe 5? or lkl=pfe 7?";"Society, Economy, Culture"
"P0185000";"P0167000";"Einzelbeiträge";"lkl=pfe 900";"Miscellaneous"
"P0186000";"P0166000";"Weltreiche und transkontinentale Räume";"lkl=pfg?";"Empires and Transcontinental Areas"
"P0187000";"P0186000";"Mongolische Reiche";"lkl=pfg 100";"Mongolian Empire"
"P0188000";"P0186000";"Islamische Welt";"lkl=pfg 200";"Islamic world"
"P0189000";"P0186000";"Osmanisches Reich (s. auch: Türkei)";"lkl=pfg 300";"Ottoman Empire (see also: Turkey)"
"P0190000";"P0186000";"Transatlantischer Raum";"lkl=pfg 500 or (thm=transatlant? and lkl=p?)";"Transatlantic World"
"P0191000";"P0166000";"Geschichte der Entdeckungen (bis 1800)";"lkl=pfh 000";"History of the Discoveries (until 1800)"
"P0192000";"P0191000";"Quellen";"lkl=pfh 1?";"Primary Sources "
"P0193000";"P0191000";"Kolumbus";"(lkl=pfh? or lkl=pfj?) and (thm=columbus or thm=kolumbus)";"Columbus"
"P0194000";"P0191000";"Einzelbeiträge";"lkl=pfh 900";"Miscellaneous"
"P0195000";"P0191000";"Asien";"lkl=pfi?";"Asia"
"P0196000";"P0191000";"Amerika";"lkl=pfj 000";"America"
"P0197000";"P0191000";"Einzelbeiträge";"lkl=pfj 900";"Miscellaneous"
"P0198000";"P0191000";"Afrika";"lkl=pfk?";"Africa"
"P0199000";"P0191000";"Australien, Neuseeland und Ozeanien";"lkl=pfl?";"Australia, New Zealand and Oceania"
"P0200000";"P0166000";"Kolonialismus und Imperialismus";"lkl=pfm 000";"Colonialism and Imperialism"
"P0201000";"P0166000";"Geschichte des ersten Weltkrieges";"lkl=pfp?";"History of World War One"
"P0202000";"P0201000";"Nachschlagewerke, Handbücher, Gesamtdarstellungen";"lkl=pfp 000";"Factual Reference Works, Handbooks, Comprehensive Histories"
"P0203000";"P0201000";"Politische Geschichte";"lkl=pfp 020";"Political History"
"P0204000";"P0201000";"Quellen";"lkl=pfp 1?";"Primary Sources "
"P0205000";"P0201000";"Militärgeschichtliche Politische Geschichte : Allgemeines";"lkl=pfp 200 or lkl=pfp 290 or lkl=pfp 600 or lkl=pfp 900";"Military and Political Historyin general"
"P0206000";"P0205000";"Kriegsschauplatz im Westen";"lkl=pfp 210";"Western theatre"
"P0207000";"P0205000";"Kriegsschauplatz im Osten";"lkl=pfp 230";"Eastern theatre"
"P0208000";"P0205000";"Kriegsschauplatz im Süden (Italien)";"lkl=pfp 250";"Southern theatre (Italy)"
"P0209000";"P0205000";"Kriegsschauplatz im Südosten (incl. Türkei)";"lkl=pfp 260";"South-Eastern theatre (Turkey)"
"P0210000";"P0205000";"Gallipoli";"lkl=pfp? and thm=gallipoli";"Gallipoli"
"P0211000";"P0205000";"Außereuropäische Kriegsschauplätze";"lkl=pfp 270";"Theatres outside Europe"
"P0212000";"P0205000";"Seekrieg";"lkl=pfp 280";"Naval War"
"P0213000";"P0205000";"Luftkrieg";"lkl=pfp 285";"Aerial War"
"P0214000";"P0201000";"Gesellschaftliche Aspekte des Krieges";"lkl=pfp 300";"Society and War/ Social aspects of War"
"P0215000";"P0201000";"Wirtschaftsgeschichtliche Aspekte des Krieges";"lkl=pfp 400";"Economy and War/ economic aspects of War"
"P0216000";"P0201000";"Kulturgeschichtliche Aspekte des Krieges";"lkl=pfp 500";"Culture and War/ cultural aspects of War"
"P0217000";"P0201000";"Geschichte der europäischen Länder im Krieg";"lkl=pfp 6? not lkl=pfp 660";"History of European countries at War"
"P0218000";"P0217000";"Deutschland";"lkl=pfp 610";"Germany"
"P0219000";"P0217000";"Österreich-Ungarn";"lkl=pfp 615";"Austria-Hungary"
"P0220000";"P0217000";"Schweiz";"lkl=pfp 616";"Switzerland"
"P0221000";"P0217000";"Beneluxstaaten";"lkl=pfp 620";"Low Countries"
"P0222000";"P0217000";"Großbritannien (incl. Irland)";"lkl=pfp 630";"Great Britain ( incl. Ireland)"
"P0223000";"P0217000";"Personen";"lkl=pfp 638";"Biographies"
"P0224000";"P0217000";"Frankreich";"lkl=pfp 640";"France"
"P0225000";"P0217000";"Italien";"lkl=pfp 650";"Italy"
"P0226000";"P0217000";"Rußland";"lkl=pfp 670";"Russia"
"P0227000";"P0201000";"Geschichte außereuropäischer Länder";"lkl=pfp 7? or lkl=pfp 600";"History of Countries outside Europe"
"P0228000";"P0227000";"Osmanisches Reich";"lkl=pfp 660";"Ottoman Empire"
"P0229000";"P0227000";"Kanada";"lkl=pfp 710";"Canada"
"P0230000";"P0227000";"Vereinigte Staaten";"lkl=pfp 720";"USA"
"P0231000";"P0227000";"Personen";"lkl=pfp 728";"Biographies"
"P0232000";"P0227000";"Länder des Britischen Empire (Afrika, Asien)";"lkl=pfp 740 or lkl=pfp 760 or lkl=pfp 770";"Territories of the British Empire (Africa, Asia)"
"P0233000";"P0227000";"Australien und Neuseeland";"lkl=pfp 780";"Australia and New Zealand"
"P0234000";"P0166000";"Geschichte des zweiten Weltkrieges";"lkl=pfr?";"History of World War Two"
"P0235000";"P0234000";"Nachschlagewerke, Handbücher, Gesamtdarstellungen";"lkl=pfr 000";"Factual Reference Works, Handbooks, Comprehensive Histories"
"P0236000";"P0234000";"Politische Geschichte";"lkl=pfr 020 or lkl=pfr 900";"Political History"
"P0237000";"P0234000";"Quellen";"lkl=pfr 1?";"Primary Sources "
"P0238000";"P0234000";"Quellen: Tagebücher, Briefe";"lkl=pfr? and (thm=diar? or thm=tageb? or thm=letter? or thm=brief? or thm=feldpost?)";"Primary Sources: Journals, Letters"
"P0239000";"P0234000";"Militärgeschichtliche Politische Geschichte : Allgemeines";"lkl=pfr 200";"Military and Political History in general"
"P0240000";"P0239000";"Polen";"lkl=pfr 205";"Poland"
"P0241000";"P0239000";"Westfront (bis 1940)";"lkl=pfr 210";"Western theatre (until 1940)"
"P0242000";"P0239000";"Nordeuropa und Finnland";"lkl=pfr 22?";"Northern Europe and Finland"
"P0243000";"P0239000";"Luftkrieg um Großbritannien";"lkl=pfr 230";"Battle of Britain"
"P0244000";"P0239000";"Südosteuropa und Ungarn";"lkl=pfr 240 or lkl=pfr 254";"South-East Europe and Hungary"
"P0245000";"P0239000";"Krieg im Mittelmeer";"lkl=pfr 245";"War in the Mediterranean Sea"
"P0246000";"P0239000";"Sowjetunion und Ostfront (bis 1945)";"lkl=pfr 250";"Soviet Union and Eastern theatre (until 1945)"
"P0247000";"P0239000";"Nordafrika";"lkl=pfr 260";"North Africa"
"P0248000";"P0239000";"Italien";"lkl=pfr 262";"Italy"
"P0249000";"P0239000";"Invasion und Krieg im Westen (1944-1945)";"lkl=pfr 265";"Invasion and Western theatre (1944-1945)"
"P0250000";"P0239000";"Asien und Pazifischer Raum";"lkl=pfr 270";"Asia and Pacific Region"
